text,label
I finished my assignment early and feel settled today,calm
Had a good lecture and understood the topic for once,calm
I slept well and my mind is quiet this morning,calm
Just had chai with friends and I feel okay,calm
"Marks came decent, not great, but I can live with it",calm
I took a walk on campus and I feel grounded,calm
"Today was normal, nothing special, I am fine",calm
I am grateful I cleared the quiz,calm
Feeling balanced after talking to my roommate,calm
I organised my notes and that calmed me down,calm
"Weekend at home was restful, back with energy",calm
I meditated for ten minutes and feel steady,calm
"Class went well, professor was kind",calm
"I am okay, just checking in",calm
Feeling hopeful about the next semester,calm
I cooked a simple meal and it felt nice,calm
"Playlist is good, mood is light",calm
"Nothing is wrong, I just wanted to say hi",calm
I feel present and not rushed right now,calm
"Got enough sleep, ready for lab",calm
Family called and it made me smile,calm
I am content sitting in the library,calm
"Worked out a little, feeling lighter",calm
The weather is nice and I feel calm,calm
I set a small plan for tomorrow and I am at ease,calm
"Passed the viva, relief and peace",calm
I am doing alright today,calm
Feeling stable after a slow morning,calm
"Notes are done, I can breathe",calm
I feel thankful for my friends here,calm
Just a regular good day in college,calm
I handled the presentation and I am okay now,calm
"Tea, music, and a quiet hostel corridor",calm
"I am not stressed, just reflecting",calm
Feeling mentally clear after a nap,calm
Things are under control this week,calm
I made progress and that is enough,calm
Feeling okay about my career plans,calm
"I smiled at a stray dog on campus, good moment",calm
"I am fine, really, just logging a check-in",calm
"calm check-in: peaceful morning, no deadline panic",calm
feeling calm and settled after a restful night,calm
"today feels peaceful, I am emotionally stable",calm
"quiet campus walk, calm mind, no rushing",calm
"I feel relaxed, grateful, and mentally light",calm
"no anxiety today, just a calm ordinary evening",calm
"I am at ease, workload is under control",calm
"peaceful library hour, I feel okay and grounded",calm
"good sleep, calm mood, nothing is urgent",calm
"I feel serene after tea, not stressed at all",calm
I have three assignments due tomorrow and I have not started,stressed
Internal marks are a mess and I am stressed,stressed
Placement season is crushing me,stressed
My timetable is packed and I cannot catch up,stressed
Professor dumped a surprise test,stressed
Hostel wifi died while I was submitting,stressed
